จังหวัด,Province,ภาค
กรุงเทพมหานคร,Bangkok,กลาง
กระบี่,Krabi,ใต้
กาญจนบุรี,Kanchanaburi,กลาง
กาฬสินธุ์,Kalasin,อีสาน
กำแพงเพชร,Kamphaeng Phet,เหนือ
ขอนแก่น,Khon Kaen,อีสาน
จันทบุรี,Chanthaburi,ตะวันออก
ฉะเชิงเทรา,Chachoengsao,ตะวันออก
ชลบุรี,Chonburi,ตะวันออก
ชัยนาท,Chai Nat,กลาง
ชัยภูมิ,Chaiyaphum,อีสาน
ชุมพร,Chumphon,ใต้
เชียงราย,Chiang Rai,เหนือ
เชียงใหม่,Chiang Mai,เหนือ
ตรัง,Trang,ใต้
ตราด,Trat,ตะวันออก
ตาก,Tak,เหนือ
นครนายก,Nakhon Nayok,กลาง
นครปฐม,Nakhon Pathom,กลาง
นครพนม,Nakhon Phanom,อีสาน
นครราชสีมา,Nakhon Ratchasima,อีสาน
นครศรีธรรมราช,Nakhon Si Thammarat,ใต้
นครสวรรค์,Nakhon Sawan,กลาง
นนทบุรี,Nonthaburi,กลาง
นราธิวาส,Narathiwat,ใต้
น่าน,Nan,เหนือ
บึงกาฬ,Bueng Kan,อีสาน
บุรีรัมย์,Buriram,อีสาน
ปทุมธานี,Pathum Thani,กลาง
ประจวบคีรีขันธ์,Prachuap Khiri Khan,กลาง
ปราจีนบุรี,Prachinburi,ตะวันออก
ปัตตานี,Pattani,ใต้
พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,กลาง
พะเยา,Phayao,เหนือ
พังงา,Phang Nga,ใต้
พัทลุง,Phatthalung,ใต้
พิจิตร,Phichit,เหนือ
พิษณุโลก,Phitsanulok,เหนือ
เพชรบุรี,Phetchaburi,กลาง
เพชรบูรณ์,Phetchabun,เหนือ
แพร่,Phrae,เหนือ
ภูเก็ต,Phuket,ใต้
มหาสารคาม,Maha Sarakham,อีสาน
มุกดาหาร,Mukdahan,อีสาน
แม่ฮ่องสอน,Mae Hong Son,เหนือ
ยโสธร,Yasothon,อีสาน
ยะลา,Yala,ใต้
ร้อยเอ็ด,Roi Et,อีสาน
ระนอง,Ranong,ใต้
ระยอง,Rayong,ตะวันออก
ราชบุรี,Ratchaburi,กลาง
ลพบุรี,Lopburi,กลาง
ลำปาง,Lampang,เหนือ
ลำพูน,Lamphun,เหนือ
เลย,Loei,อีสาน
ศรีสะเกษ,Si Sa Ket,อีสาน
สกลนคร,Sakon Nakhon,อีสาน
สงขลา,Songkhla,ใต้
สตูล,Satun,ใต้
สมุทรปราการ,Samut Prakan,กลาง
สมุทรสงคราม,Samut Songkhram,กลาง
สมุทรสาคร,Samut Sakhon,กลาง
สระแก้ว,Sa Kaeo,ตะวันออก
สระบุรี,Saraburi,กลาง
สิงห์บุรี,Sing Buri,กลาง
สุโขทัย,Sukhothai,เหนือ
สุพรรณบุรี,Suphan Buri,กลาง
สุราษฎร์ธานี,Surat Thani,ใต้
สุรินทร์,Surin,อีสาน
หนองคาย,Nong Khai,อีสาน
หนองบัวลำภู,Nong Bua Lam Phu,อีสาน
อ่างทอง,Ang Thong,กลาง
อำนาจเจริญ,Amnat Charoen,อีสาน
อุดรธานี,Udon Thani,อีสาน
อุตรดิตถ์,Uttaradit,เหนือ
อุทัยธานี,Uthai Thani,กลาง
อุบลราชธานี,Ubon Ratchathani,อีสาน
