epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,65.7203,0.38257,0.91032,1,0.24838,0.000551912,0.000551912,0.000551912
2,123.791,0.30319,0.8714,1,0.31181,0.00109661,0.00109661,0.00109661
3,181.813,0.32344,0.72081,1,0.87063,0.00163031,0.00163031,0.00163031
4,242.061,0.3015,0.8934,1,0.25577,0.00161749,0.00161749,0.00161749
5,300.999,0.29941,0.91709,1,0.2171,0.00160099,0.00160099,0.00160099
6,360.784,0.2886,0.91709,1,0.23603,0.00158448,0.00158448,0.00158448
7,419.093,0.26063,0.91032,1,0.23491,0.00156798,0.00156798,0.00156798
8,478.486,0.24413,0.91032,1,0.25403,0.00155148,0.00155148,0.00155148
9,538.048,0.2477,0.93401,1,0.19057,0.00153497,0.00153497,0.00153497
10,597.946,0.24039,0.91371,1,0.20146,0.00151847,0.00151847,0.00151847
11,658.893,0.2353,0.91032,1,0.22076,0.00150197,0.00150197,0.00150197
12,719.455,0.20863,0.94247,1,0.17381,0.00148546,0.00148546,0.00148546
13,779.805,0.21722,0.91709,1,0.20803,0.00146896,0.00146896,0.00146896
14,840.139,0.22014,0.92893,1,0.17899,0.00145246,0.00145246,0.00145246
15,899.48,0.18024,0.93063,1,0.20733,0.00143595,0.00143595,0.00143595
16,959.438,0.19036,0.94247,1,0.17229,0.00141945,0.00141945,0.00141945
17,1019.63,0.18547,0.94585,1,0.18198,0.00140295,0.00140295,0.00140295
18,1080.82,0.18792,0.93063,1,0.18164,0.00138644,0.00138644,0.00138644
19,1140.5,0.18665,0.93401,1,0.18012,0.00136994,0.00136994,0.00136994
20,1199.04,0.14341,0.93401,1,0.19108,0.00135344,0.00135344,0.00135344
21,1261.15,0.17781,0.92386,1,0.19786,0.00133693,0.00133693,0.00133693
22,1323.92,0.18764,0.92893,1,0.18783,0.00132043,0.00132043,0.00132043
23,1387.06,0.17023,0.92893,1,0.16704,0.00130393,0.00130393,0.00130393
24,1448.5,0.13979,0.92724,1,0.20184,0.00128742,0.00128742,0.00128742
25,1510.49,0.12647,0.92555,1,0.19478,0.00127092,0.00127092,0.00127092
26,1573.26,0.15255,0.90525,1,0.26592,0.00125442,0.00125442,0.00125442
27,1633.66,0.16253,0.93063,1,0.20304,0.00123791,0.00123791,0.00123791
28,1693.07,0.12906,0.92893,1,0.20499,0.00122141,0.00122141,0.00122141
29,1752.93,0.15362,0.9357,1,0.1834,0.00120491,0.00120491,0.00120491
30,1813.84,0.11621,0.92724,1,0.24177,0.0011884,0.0011884,0.0011884
31,1874.65,0.10876,0.94585,1,0.18761,0.0011719,0.0011719,0.0011719
32,1933.24,0.1203,0.92724,1,0.2025,0.0011554,0.0011554,0.0011554
33,1993.13,0.12054,0.93063,1,0.18604,0.00113889,0.00113889,0.00113889
34,2051.91,0.11635,0.93232,1,0.19669,0.00112239,0.00112239,0.00112239
35,2111.69,0.1024,0.92386,1,0.1993,0.00110589,0.00110589,0.00110589
36,2171.2,0.10935,0.93401,1,0.19306,0.00108938,0.00108938,0.00108938
37,2227.94,0.11803,0.93739,1,0.19124,0.00107288,0.00107288,0.00107288
38,2286.53,0.11722,0.93401,1,0.18648,0.00105638,0.00105638,0.00105638
39,2346.52,0.09854,0.93739,1,0.23694,0.00103987,0.00103987,0.00103987
40,2406.02,0.11384,0.93739,1,0.205,0.00102337,0.00102337,0.00102337
